,timestamp,ch1,ch2,ch3,ch4,ch5,ch6,ch7,ch8,altitude,latitude,longitude
0,2024-11-15 00:45:21,-33.92544000000001,-38.84925,-38.52017,-40.10279000000001,-43.51851999999999,-43.267439999999986,-45.455079999999995,-46.88932,338.4157800515057,37.44427969717084,-103.4933557
1,2024-11-15 07:09:52,-33.08912000000001,-38.00475,-39.70256,-39.011120000000005,-43.909479999999995,-42.88681999999999,-45.06748999999999,-45.131119999999996,327.3910752014641,30.158306307384873,-86.29277502
2,2024-11-15 20:39:05,-34.76176000000001,-38.84925,-40.09668999999999,-40.10279000000001,-42.345639999999996,-43.648059999999994,-44.6799,-45.8344,333.76758104930735,51.54272014624496,-1.631692493
3,2024-11-15 22:15:05,-33.92544000000001,-39.2715,-38.91429999999999,-38.28334000000001,-43.51851999999999,-44.02867999999999,-45.06748999999999,-46.88932,330.9240237260571,49.51709299259079,4.19850886
4,2024-11-18 07:36:47,-33.92544000000001,-38.84925,-38.52017,-40.10279000000001,-41.563719999999996,-43.267439999999986,-45.455079999999995,-46.88932,328.9125854156994,29.396377795713285,122.56916172894856
5,2024-11-25 13:09:28,-33.92544000000001,-38.42699999999999,-38.91429999999999,-40.10279000000001,-43.51851999999999,-42.88681999999999,-45.455079999999995,-46.537679999999995,279.6069603160672,48.35523582135615,30.257776540725295
6,2024-11-25 13:11:29,-33.08912000000001,-37.582499999999996,-40.49081999999999,-40.10279000000001,-43.51851999999999,-43.267439999999986,-45.455079999999995,-46.537679999999995,278.9587073,50.699973114972614,41.63314419233928
7,2024-11-25 14:38:55,-33.08912000000001,-38.42699999999999,-38.91429999999999,-40.46668000000001,-42.73659999999999,-42.88681999999999,-45.84267,-46.537679999999995,278.79296488879737,47.746704609259666,5.283718906
8,2024-11-25 14:43:57,-28.489360000000005,-37.160250000000005,-37.33777999999999,-39.738900000000015,-43.51851999999999,-43.267439999999986,-45.455079999999995,-46.18603999999999,276.63907667396137,51.764677425360496,35.06000995842236
9,2024-11-25 16:12:24,-35.17992000000001,-38.00475,-38.91429999999999,-38.28334000000001,-43.51851999999999,-43.648059999999994,-45.455079999999995,-46.88932,276.5905489136572,51.517659336310665,3.6636636901566586
10,2024-11-25 16:13:55,-34.76176000000001,-38.00475,-38.126039999999996,-39.37501000000002,-42.73659999999999,-43.648059999999994,-45.84267,-46.537679999999995,275.6534742214118,51.74889450471289,13.249384315701853
11,2024-11-25 17:45:21,-33.08912000000001,-38.42699999999999,-38.91429999999999,-40.10279000000001,-43.51851999999999,-42.88681999999999,-44.6799,-46.88932,273.20210248089205,51.03529731792343,0.8059728214443023
12,2024-11-25 17:50:53,-33.08912000000001,-38.00475,-38.52017,-39.37501000000002,-43.51851999999999,-42.88681999999999,-45.455079999999995,-46.537679999999995,267.2617341254092,42.57353788838322,29.94168868660143
13,2024-11-26 02:50:08,-33.50728000000001,-38.00475,-38.52017,-39.011120000000005,-43.909479999999995,-44.02867999999999,-44.29231,-45.131119999999996,258.1020040364885,36.185104628578344,-96.46087272
